session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5e4e6dbf53bc702c1f5273cb,5981d55b04ebec0001aaadde,RETURNED,2020-02-20 11:36:32.100000,,2442521.076732,35,357,14,95,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e6dc2757d5e2b00bfc1f8,5c40fe3a72b87000013a5dd8,APPROVED,2020-02-20 11:30:10.035000,2020-02-20 12:26:34.061000,3384.026,22,127,1,100,2020-02-20 15:27:15.034000,228C6F99,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Male,Yes
5e4e6dc2bc5c542b8976556f,578b4394ad1a6c0001466a6d,RETURNED,2020-02-20 11:30:10.115000,,2442903.090053,42,279,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e6dc26603cd2baf768544,5e2ac2737916f010b330807f,APPROVED,2020-02-20 11:30:10.437000,2020-02-20 12:48:07.713000,4677.276,33,29,0,100,2020-02-20 15:27:15.288000,228C6F99,Sweden,Sweden,Full-Time,Swedish,"English, Swedish",Sweden,Male,No
5e4e712cccdfe32b8cd8dc5a,5bba89fbe258e8000160ea8f,APPROVED,2020-02-20 11:44:55.279000,2020-02-20 13:34:25.685000,6570.406,33,192,6,97,2020-02-20 15:27:15.634000,228C6F99,Armenia,United Kingdom,Part-Time,Armenian,Russian,Armenia,Female,No
5e4e71a935eda32b3ae2588a,5caddec9facb4c0016ed3652,APPROVED,2020-02-20 11:46:49.266000,2020-02-20 13:13:26.423000,5197.157,45,118,1,100,2020-02-20 15:27:15.982000,228C6F99,Poland,Poland,Full-Time,Polish,"Polish, English",Poland,Male,No
5e4e85fa2032272cde740c30,5c94bac30955b70012a521ce,APPROVED,2020-02-20 13:20:16.863000,2020-02-20 14:24:46.345000,3869.482,25,113,0,100,2020-02-20 15:27:16.254000,228C6F99,Greece,Greece,Part-Time,Greek,"English, French, Greek",Greece,Female,No
5e4e85fb3cbcb8000ed51204,5c40dea5f374a90001622c8e,APPROVED,2020-02-20 13:14:48.266000,2020-02-20 14:05:14.315000,3026.049,19,198,1,100,2020-02-20 15:27:16.596000,228C6F99,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,Yes
5e4e85fee78ac62d4fbe9050,5e22f8f46e850f000a7f7a0e,APPROVED,2020-02-20 13:15:16.467000,2020-02-20 14:35:51.427000,4834.96,23,65,0,100,2020-02-20 15:27:16.948000,228C6F99,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5e4e85ff434211000b4bfb5e,5ced52227832f40001ca312e,RETURNED,2020-02-20 13:13:35.045000,,2436698.322969,25,64,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e85ff2c4059000a598718,5dcc068f611e1a8a0a49e2a1,RETURNED,2020-02-20 13:14:08.583000,,2436664.785049,20,39,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e85ffd7d96a000a17b7fd,5da636caa6b2a50015a6c22f,RETURNED,2020-02-20 13:13:35.934000,,2436697.43409,22,53,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e86000e1df0000cf42c26,5d9ce1981ecfd60012ccca92,APPROVED,2020-02-20 13:14:01.802000,2020-02-20 14:23:15.102000,4153.3,36,269,2,100,2020-02-20 15:27:17.423000,228C6F99,United States,United States,Full-Time,English,English,United States,Male,No
5e4e860301ea4d2c09a51a44,5c61bfabd1c24d0001638dbb,APPROVED,2020-02-20 13:13:39.668000,2020-02-20 14:06:32.104000,3172.436,21,129,0,100,2020-02-20 15:27:17.798000,228C6F99,Latvia,Latvia,Part-Time,Russian,"English, Latvian, Russian",Latvia,Male,Yes
5e4e86048e6da2015e423ed6,5df42244946e972fd0bfeddb,APPROVED,2020-02-20 13:13:40.447000,2020-02-20 14:09:04.005000,3323.558,23,28,0,100,2020-02-20 15:27:18.258000,228C6F99,Greece,Greece,Unemployed (and job seeking),Greek,"English, Greek",Greece,Female,Yes
5e4e860493ae5c2bc54e9eb3,5de6d194d2683b000f44e2a5,APPROVED,2020-02-20 13:19:59.490000,2020-02-20 14:35:15.834000,4516.344,46,51,1,100,2020-02-20 15:27:18.679000,228C6F99,Sweden,United Kingdom,Part-Time,Swedish,English,United Kingdom,Female,No
5e4e8605c69d2d000a288a94,5d4602322f66d0001a1208c7,APPROVED,2020-02-20 13:13:41.169000,2020-02-20 15:01:23.521000,6462.352,32,349,0,100,2020-02-20 15:27:19.031000,228C6F99,United States,Germany,Full-Time,English,"English, German, Hindi, Urdu, Spanish",United States,Male,No
5e4e860610decf2d6d566871,5e3d792b9aa116000bcb8b84,APPROVED,2020-02-20 13:13:42.382000,2020-02-20 14:24:04.345000,4221.963,25,76,0,100,2020-02-20 15:27:19.309000,228C6F99,United States,United States,Unemployed (and job seeking),English,English,United States,Female,Yes
5e4e86071c04262d054b1fa9,5df113a45cc380010fe9e28d,APPROVED,2020-02-20 13:13:43.473000,2020-02-20 14:21:57.806000,4094.333,23,53,1,100,2020-02-20 15:27:19.520000,228C6F99,Germany,Germany,Other,German,"English, German",Germany,Female,Yes
5e4e86073d1d852c9ed02f94,5d2fe93eb2cfe00015231975,APPROVED,2020-02-20 13:13:47.973000,2020-02-20 14:30:31.753000,4603.78,36,307,5,97,2020-02-20 15:27:19.700000,228C6F99,United States,United States,Full-Time,English,English,United States,Female,No
5e4e8608bc498602802360e5,5d3b214293eb2d0017787dd5,APPROVED,2020-02-20 13:13:44.343000,2020-02-20 14:06:31.565000,3167.222,34,87,0,100,2020-02-20 15:27:19.966000,228C6F99,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
5e4e8853056b9c2c8ac7f9da,5db974ac2f6766000d3fd03e,APPROVED,2020-02-20 13:29:18.490000,2020-02-20 15:20:13.701000,6655.211,30,61,1,100,2020-02-20 15:27:20.946000,228C6F99,Hungary,Hungary,Full-Time,Hungarian,"Hungarian, English",Hungary,Male,No
5e4e88569a56a02bd23443e1,5e261f4731328709feda6be4,APPROVED,2020-02-20 13:25:00.845000,2020-02-20 14:08:29.271000,2608.426,18,35,0,100,2020-02-20 15:27:26.713000,228C6F99,United Kingdom,United Kingdom,Part-Time,English,"Bengali, English",United Kingdom,Female,Yes
5e4e8abe8b0f0b2caa98abb5,5e30d54ffe3cc30dc1724d90,RETURNED,2020-02-20 13:34:09.216000,,2435464.471706,24,42,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e9a66c6a8fa2d8ea3c265,5c28cac3867f660001ae9c4a,APPROVED,2020-02-20 14:45:03.398000,2020-02-20 15:50:33.881000,3930.483,28,471,0,100,2020-02-21 09:24:24.035000,228C6F99,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5e4ea87aca55662f2a873c62,5dcc8459bfb31a920381996e,APPROVED,2020-02-20 15:40:42.857000,2020-02-20 17:13:43.904000,5581.047,20,139,0,100,2020-02-21 09:24:24.473000,228C6F99,Germany,Germany,Part-Time,German,"English, French, German, Spanish",Germany,Male,Yes
5e4ea88370e1ed2ec69bb650,5d8794b64a462d001a65469d,APPROVED,2020-02-20 15:40:51.348000,2020-02-20 16:33:18.060000,3146.712,23,55,0,100,2020-02-21 09:24:24.790000,228C6F99,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese, Spanish",Portugal,Male,Yes
5e4ea883ddf219000a67a236,5b703ad76f0ed10001bfb0af,APPROVED,2020-02-20 15:41:03.299000,2020-02-20 16:52:39.169000,4295.87,44,345,3,100,2020-02-21 09:24:24.949000,228C6F99,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
5e4ea885a864872fa46b5f7e,5d372adaf9902a00015c3945,APPROVED,2020-02-20 15:41:58.389000,2020-02-20 17:44:40.702000,7362.313,28,66,1,100,2020-02-21 09:24:25.354000,228C6F99,France,Norway,Full-Time,French,"English, French, Norwegian",France,Female,No
5e4ea88810decf2f88e7821f,5da97d1df1f30c0018930321,APPROVED,2020-02-20 15:40:59.919000,2020-02-20 16:33:01.554000,3121.635,26,94,0,100,2020-02-21 09:24:25.509000,228C6F99,United States,Spain,Due to start a new job within the next month,English,"English, Spanish",United States,Male,Yes
5e4ea888a80a1d2ef2eb403d,5cb4b4160b74e8001569b374,APPROVED,2020-02-20 15:42:27.996000,2020-02-20 16:55:11.689000,4363.693,19,76,2,98,2020-02-21 09:24:25.676000,228C6F99,Latvia,Latvia,Unemployed (and job seeking),Latvian,"English, German, Latvian",Latvia,Male,Yes
5e4ea88c3ef18b2f6d72ce17,5ccb7f49d01bf60016157934,APPROVED,2020-02-20 15:48:05.797000,2020-02-20 17:30:40.759000,6154.962,27,136,0,100,2020-02-21 09:24:25.826000,228C6F99,Brazil,Portugal,Full-Time,Portuguese,"Portuguese, English",Brazil,Male,No
5e4ea88dbaf7e82e482ec08b,5d9b4e21b56c51035c35cb3d,APPROVED,2020-02-20 15:41:03.148000,2020-02-20 16:39:30.632000,3507.484,45,65,0,100,2020-02-21 09:24:26.108000,228C6F99,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English, Spanish",Portugal,Male,No
